Flower Name,MRP (₹),Qty Sold (kg),Weather,Customer Segment,Revenue,Profit Margin,Sale Frequency,Weather Impact Score,Customer Segment Score,Start Date,Start Time,End Date,End Time
Marigold,166,134,Cloudy,High-End Customers,22244,4448.8,284,7,9.0,2023-05-21,11:44:42,2023-05-22,13:44:42
Gerbera,113,178,Sunny,Temple,20114,4022.8,242,10,6.0,2023-05-12,07:19:11,2023-05-13,15:19:11
Carnation,168,152,Windy,Temple,25536,5107.200000000001,283,6,6.0,2023-12-02,02:09:50,2023-12-02,03:09:50
Chrysanthemum,142,24,Rainy,Special Events,3408,681.6,269,5,8.0,2023-07-24,07:47:39,2023-07-25,18:47:39
Carnation,155,198,Sunny,Corporate Events,30690,6138.0,283,10,7.0,2023-10-03,14:15:51,2023-10-04,07:15:51
Poppy,210,62,Sunny,High-End Customers,13020,2604.0,284,10,9.0,2023-10-25,00:13:36,2023-10-25,15:13:36
Lily,216,112,Cloudy,Temple,24192,4838.400000000001,280,7,6.0,2023-06-14,20:08:35,2023-06-16,14:08:35
Sunflower,133,99,Windy,Daily Consumers,13167,2633.4,257,6,,2023-01-03,07:40:01,2023-01-03,09:40:01
Sunflower,140,179,Sunny,Marriage,25060,5012.0,257,10,,2023-09-15,05:12:12,2023-09-15,07:12:12
Poppy,200,25,Cloudy,Special Events,5000,1000.0,284,7,8.0,2023-08-19,10:48:52,2023-08-19,15:48:52
Jasmine,137,54,Windy,High-End Customers,7398,1479.6,293,6,9.0,2023-08-02,14:34:00,2023-08-04,13:34:00
Marigold,156,267,Sunny,Festivals,41652,8330.4,284,10,,2023-08-16,03:43:28,2023-08-18,16:43:28
Marigold,195,193,Cloudy,Luxury Events,37635,7527.0,284,7,,2023-12-06,14:21:28,2023-12-08,00:21:28
Lily,185,11,Cloudy,Festivals,2035,407.0,280,7,,2023-09-25,21:50:02,2023-09-27,11:50:02
Geranium,178,184,Cloudy,Temple,32752,6550.400000000001,264,7,6.0,2023-06-04,21:58:38,2023-06-05,05:58:38
Dahlia,177,25,Windy,Luxury Events,4425,885.0,300,6,,2023-10-14,03:31:35,2023-10-14,04:31:35
Daisy,96,170,Cloudy,Weddings,16320,3264.0,285,7,,2023-09-14,23:37:00,2023-09-17,06:37:00
Daisy,117,126,Windy,High-End Customers,14742,2948.4,285,6,9.0,2023-06-07,20:20:46,2023-06-10,19:20:46
Chrysanthemum,127,159,Windy,High-End Customers,20193,4038.6,269,6,9.0,2023-03-24,13:59:14,2023-03-26,14:59:14
Gerbera,106,259,Cloudy,Temple,27454,5490.8,242,7,6.0,2023-09-29,17:03:49,2023-09-30,17:03:49
Zinnia,122,85,Sunny,Weddings,10370,2074.0,277,10,,2023-07-24,21:46:17,2023-07-26,20:46:17
Jasmine,135,154,Cloudy,Luxury Events,20790,4158.0,293,7,,2023-03-23,12:32:45,2023-03-24,05:32:45
Marigold,142,129,Windy,Luxury Events,18318,3663.6,284,6,,2023-02-23,10:36:43,2023-02-26,00:36:43
Gerbera,133,200,Sunny,Luxury Events,26600,5320.0,242,10,,2023-03-15,21:09:31,2023-03-16,00:09:31
Jasmine,83,80,Sunny,Special Events,6640,1328.0,293,10,8.0,2023-08-06,05:24:56,2023-08-06,11:24:56
Chrysanthemum,161,44,Rainy,Temple,7084,1416.8000000000002,269,5,6.0,2023-11-02,00:45:17,2023-11-03,05:45:17
Tulip,249,16,Rainy,Corporate Events,3984,796.8000000000001,257,5,7.0,2023-06-19,16:22:09,2023-06-21,23:22:09
Orchid,311,46,Sunny,Corporate Events,14306,2861.2000000000003,289,10,7.0,2023-10-24,07:51:49,2023-10-24,20:51:49
Zinnia,146,58,Sunny,Temple,8468,1693.6,277,10,6.0,2023-10-27,10:54:18,2023-10-28,14:54:18
Orchid,295,89,Windy,High-End Customers,26255,5251.0,289,6,9.0,2023-06-03,21:40:11,2023-06-06,17:40:11
Orchid,290,29,Cloudy,Weddings,8410,1682.0,289,7,,2023-08-16,12:23:51,2023-08-19,02:23:51
Marigold,143,143,Rainy,Marriage,20449,4089.8,284,5,,2023-01-18,02:46:42,2023-01-18,04:46:42
Dahlia,207,40,Windy,Temple,8280,1656.0,300,6,6.0,2023-02-22,20:08:11,2023-02-23,03:08:11
Lavender,202,20,Sunny,Temple,4040,808.0,284,10,6.0,2023-11-17,19:32:12,2023-11-18,19:32:12
Lily,160,107,Rainy,High-End Customers,17120,3424.0,280,5,9.0,2023-09-17,05:06:21,2023-09-19,12:06:21
