Flower Name,MRP (₹),Qty Sold (kg),Weather,Customer Segment,Revenue,Profit Margin,Sale Frequency,Weather Impact Score,Customer Segment Score
Marigold,166,134,Cloudy,High-End Customers,22244,4448.8,284,7,9.0
Gerbera,113,178,Sunny,Temple,20114,4022.8,242,10,6.0
Carnation,168,152,Windy,Temple,25536,5107.200000000001,283,6,6.0
Chrysanthemum,142,24,Rainy,Special Events,3408,681.6,269,5,8.0
Carnation,155,198,Sunny,Corporate Events,30690,6138.0,283,10,7.0
Poppy,210,62,Sunny,High-End Customers,13020,2604.0,284,10,9.0
Lily,216,112,Cloudy,Temple,24192,4838.400000000001,280,7,6.0
Sunflower,133,99,Windy,Daily Consumers,13167,2633.4,257,6,
Sunflower,140,179,Sunny,Marriage,25060,5012.0,257,10,
Poppy,200,25,Cloudy,Special Events,5000,1000.0,284,7,8.0
Jasmine,137,54,Windy,High-End Customers,7398,1479.6000000000001,293,6,9.0
Marigold,156,267,Sunny,Festivals,41652,8330.4,284,10,
Marigold,195,193,Cloudy,Luxury Events,37635,7527.0,284,7,
Lily,185,11,Cloudy,Festivals,2035,407.0,280,7,
Geranium,178,184,Cloudy,Temple,32752,6550.400000000001,264,7,6.0
Dahlia,177,25,Windy,Luxury Events,4425,885.0,300,6,
Daisy,96,170,Cloudy,Weddings,16320,3264.0,285,7,
Daisy,117,126,Windy,High-End Customers,14742,2948.4,285,6,9.0
Chrysanthemum,127,159,Windy,High-End Customers,20193,4038.6000000000004,269,6,9.0
Gerbera,106,259,Cloudy,Temple,27454,5490.8,242,7,6.0
Zinnia,122,85,Sunny,Weddings,10370,2074.0,277,10,
Jasmine,135,154,Cloudy,Luxury Events,20790,4158.0,293,7,
Marigold,142,129,Windy,Luxury Events,18318,3663.6000000000004,284,6,
Gerbera,133,200,Sunny,Luxury Events,26600,5320.0,242,10,
Jasmine,83,80,Sunny,Special Events,6640,1328.0,293,10,8.0
Chrysanthemum,161,44,Rainy,Temple,7084,1416.8000000000002,269,5,6.0
Tulip,249,16,Rainy,Corporate Events,3984,796.8000000000001,257,5,7.0
Orchid,311,46,Sunny,Corporate Events,14306,2861.2000000000003,289,10,7.0
Zinnia,146,58,Sunny,Temple,8468,1693.6000000000001,277,10,6.0
Orchid,295,89,Windy,High-End Customers,26255,5251.0,289,6,9.0
Orchid,290,29,Cloudy,Weddings,8410,1682.0,289,7,
Marigold,143,143,Rainy,Marriage,20449,4089.8,284,5,
Dahlia,207,40,Windy,Temple,8280,1656.0,300,6,6.0
Lavender,202,20,Sunny,Temple,4040,808.0,284,10,6.0
Lily,160,107,Rainy,High-End Customers,17120,3424.0,280,5,9.0
Sunflower,115,90,Sunny,Weddings,10350,2070.0,257,10,
Lavender,175,79,Windy,High-End Customers,13825,2765.0,284,6,9.0
Lavender,243,50,Rainy,Festivals,12150,2430.0,284,5,
Jasmine,88,110,Cloudy,High-End Customers,9680,1936.0,293,7,9.0
Orchid,292,85,Windy,High-End Customers,24820,4964.0,289,6,9.0
Gerbera,87,146,Windy,High-End Customers,12702,2540.4,242,6,9.0
Hibiscus,84,105,Cloudy,Weddings,8820,1764.0,273,7,
Carnation,152,78,Sunny,Marriage,11856,2371.2000000000003,283,10,
Daisy,99,151,Sunny,Corporate Events,14949,2989.8,285,10,7.0
Tulip,290,10,Cloudy,Weddings,2900,580.0,257,7,
Orchid,280,10,Cloudy,Weddings,2800,560.0,289,7,
Hibiscus,131,117,Sunny,Festivals,15327,3065.4,273,10,
Daisy,95,91,Rainy,Temple,8645,1729.0,285,5,6.0
Chrysanthemum,157,91,Sunny,Special Events,14287,2857.4,269,10,8.0
Jasmine,119,32,Cloudy,Special Events,3808,761.6,293,7,8.0
Lavender,221,111,Sunny,Festivals,24531,4906.2,284,10,
Orchid,324,67,Windy,Temple,21708,4341.6,289,6,6.0
Rose,128,156,Sunny,Festivals,19968,3993.6000000000004,281,10,
Zinnia,149,64,Sunny,Special Events,9536,1907.2,277,10,8.0
Calla Lily,255,127,Cloudy,Luxury Events,32385,6477.0,298,7,
Gerbera,87,116,Cloudy,Weddings,10092,2018.4,242,7,
Dahlia,214,105,Sunny,High-End Customers,22470,4494.0,300,10,9.0
Lily,198,22,Windy,Temple,4356,871.2,280,6,6.0
Orchid,333,10,Rainy,Luxury Events,3330,666.0,289,5,
Zinnia,101,209,Cloudy,Luxury Events,21109,4221.8,277,7,
Carnation,171,93,Rainy,High-End Customers,15903,3180.6000000000004,283,5,9.0
Gerbera,84,200,Rainy,Special Events,16800,3360.0,242,5,8.0
Dahlia,211,18,Sunny,High-End Customers,3798,759.6,300,10,9.0
Dahlia,190,10,Sunny,Festivals,1900,380.0,300,10,
Jasmine,119,111,Sunny,Daily Consumers,13209,2641.8,293,10,
Gerbera,134,131,Sunny,Special Events,17554,3510.8,242,10,8.0
Gerbera,140,190,Cloudy,Special Events,26600,5320.0,242,7,8.0
Carnation,193,118,Sunny,Festivals,22774,4554.8,283,10,
Calla Lily,282,10,Windy,Luxury Events,2820,564.0,298,6,
Geranium,141,34,Cloudy,Luxury Events,4794,958.8000000000001,264,7,
Jasmine,110,81,Sunny,Corporate Events,8910,1782.0,293,10,7.0
Dahlia,184,108,Windy,Special Events,19872,3974.4,300,6,8.0
Rose,150,119,Sunny,Luxury Events,17850,3570.0,281,10,
Tulip,272,111,Windy,Marriage,30192,6038.400000000001,257,6,
Lavender,173,97,Cloudy,Marriage,16781,3356.2000000000003,284,7,
Carnation,136,195,Sunny,Festivals,26520,5304.0,283,10,
Chrysanthemum,179,148,Sunny,High-End Customers,26492,5298.400000000001,269,10,9.0
Geranium,126,148,Windy,Marriage,18648,3729.6000000000004,264,6,
Poppy,235,100,Sunny,Special Events,23500,4700.0,284,10,8.0
Calla Lily,228,27,Rainy,Luxury Events,6156,1231.2,298,5,
Calla Lily,226,92,Sunny,Weddings,20792,4158.400000000001,298,10,
Daisy,158,165,Cloudy,Festivals,26070,5214.0,285,7,
Chrysanthemum,118,107,Windy,Special Events,12626,2525.2000000000003,269,6,8.0
Lavender,193,10,Rainy,Luxury Events,1930,386.0,284,5,
Dahlia,207,145,Windy,High-End Customers,30015,6003.0,300,6,9.0
Orchid,330,65,Windy,Daily Consumers,21450,4290.0,289,6,
Rose,100,72,Cloudy,Daily Consumers,7200,1440.0,281,7,
Rose,166,143,Rainy,Luxury Events,23738,4747.6,281,5,
Calla Lily,295,52,Rainy,Festivals,15340,3068.0,298,5,
Tulip,230,10,Cloudy,Weddings,2300,460.0,257,7,
Orchid,341,36,Windy,Special Events,12276,2455.2000000000003,289,6,8.0
Hibiscus,128,215,Sunny,Luxury Events,27520,5504.0,273,10,
Poppy,220,109,Sunny,High-End Customers,23980,4796.0,284,10,9.0
Carnation,161,97,Rainy,Luxury Events,15617,3123.4,283,5,
Orchid,292,10,Windy,Corporate Events,2920,584.0,289,6,7.0
Orchid,306,91,Rainy,Temple,27846,5569.200000000001,289,5,6.0
Daisy,126,155,Windy,Daily Consumers,19530,3906.0,285,6,
Lavender,231,36,Rainy,Weddings,8316,1663.2,284,5,
Gerbera,147,242,Cloudy,High-End Customers,35574,7114.8,242,7,9.0
Hibiscus,96,228,Cloudy,Weddings,21888,4377.6,273,7,
Marigold,143,188,Sunny,Corporate Events,26884,5376.8,284,10,7.0
Zinnia,105,198,Cloudy,Weddings,20790,4158.0,277,7,
Lily,192,106,Sunny,Corporate Events,20352,4070.4,280,10,7.0
Sunflower,128,47,Cloudy,Festivals,6016,1203.2,257,7,
Calla Lily,290,99,Windy,Daily Consumers,28710,5742.0,298,6,
Lavender,232,67,Sunny,Daily Consumers,15544,3108.8,284,10,
Lavender,172,10,Sunny,High-End Customers,1720,344.0,284,10,9.0
Hibiscus,109,183,Windy,Marriage,19947,3989.4,273,6,
Calla Lily,279,81,Cloudy,Marriage,22599,4519.8,298,7,
Daisy,149,218,Windy,High-End Customers,32482,6496.400000000001,285,6,9.0
Daisy,142,207,Sunny,Festivals,29394,5878.8,285,10,
Tulip,295,30,Sunny,Special Events,8850,1770.0,257,10,8.0
Geranium,166,75,Windy,Marriage,12450,2490.0,264,6,
Jasmine,135,87,Windy,Festivals,11745,2349.0,293,6,
Orchid,294,86,Sunny,Marriage,25284,5056.8,289,10,
Poppy,244,66,Windy,Temple,16104,3220.8,284,6,6.0
Geranium,136,172,Cloudy,Corporate Events,23392,4678.400000000001,264,7,7.0
Geranium,171,175,Sunny,Weddings,29925,5985.0,264,10,
Tulip,266,76,Rainy,Corporate Events,20216,4043.2000000000003,257,5,7.0
Chrysanthemum,184,117,Rainy,Daily Consumers,21528,4305.6,269,5,
Jasmine,138,106,Rainy,Marriage,14628,2925.6000000000004,293,5,
Carnation,201,138,Cloudy,Marriage,27738,5547.6,283,7,
Lavender,211,50,Windy,Corporate Events,10550,2110.0,284,6,7.0
Gerbera,106,222,Rainy,Marriage,23532,4706.400000000001,242,5,
Marigold,161,215,Sunny,Special Events,34615,6923.0,284,10,8.0
Marigold,175,232,Windy,Luxury Events,40600,8120.0,284,6,
Chrysanthemum,112,97,Cloudy,Weddings,10864,2172.8,269,7,
Calla Lily,241,130,Rainy,Corporate Events,31330,6266.0,298,5,7.0
Sunflower,131,45,Rainy,Weddings,5895,1179.0,257,5,
Calla Lily,282,94,Sunny,High-End Customers,26508,5301.6,298,10,9.0
Carnation,130,71,Sunny,Temple,9230,1846.0,283,10,6.0
Poppy,228,108,Sunny,Weddings,24624,4924.8,284,10,
Jasmine,150,21,Cloudy,Daily Consumers,3150,630.0,293,7,
Calla Lily,230,43,Rainy,Festivals,9890,1978.0,298,5,
Carnation,184,132,Cloudy,Luxury Events,24288,4857.6,283,7,
Calla Lily,233,10,Rainy,Festivals,2330,466.0,298,5,
Geranium,128,119,Sunny,Daily Consumers,15232,3046.4,264,10,
Hibiscus,126,176,Cloudy,Daily Consumers,22176,4435.2,273,7,
Geranium,169,89,Windy,Special Events,15041,3008.2000000000003,264,6,8.0
Chrysanthemum,135,165,Rainy,High-End Customers,22275,4455.0,269,5,9.0
Calla Lily,261,11,Windy,Daily Consumers,2871,574.2,298,6,
Jasmine,150,49,Cloudy,Festivals,7350,1470.0,293,7,
Calla Lily,258,124,Cloudy,Festivals,31992,6398.400000000001,298,7,
Marigold,136,252,Sunny,Corporate Events,34272,6854.400000000001,284,10,7.0
Sunflower,171,142,Cloudy,Special Events,24282,4856.400000000001,257,7,8.0
Jasmine,144,167,Cloudy,Temple,24048,4809.6,293,7,6.0
Calla Lily,225,45,Cloudy,Corporate Events,10125,2025.0,298,7,7.0
Sunflower,105,128,Sunny,Temple,13440,2688.0,257,10,6.0
Orchid,311,24,Sunny,Special Events,7464,1492.8000000000002,289,10,8.0
Calla Lily,238,72,Sunny,Temple,17136,3427.2000000000003,298,10,6.0
Lavender,212,34,Sunny,Weddings,7208,1441.6000000000001,284,10,
Calla Lily,285,10,Cloudy,Weddings,2850,570.0,298,7,
Chrysanthemum,156,110,Sunny,Weddings,17160,3432.0,269,10,
Zinnia,108,188,Cloudy,Daily Consumers,20304,4060.8,277,7,
Chrysanthemum,122,105,Windy,Marriage,12810,2562.0,269,6,
Rose,123,98,Rainy,Temple,12054,2410.8,281,5,6.0
Gerbera,85,183,Rainy,Luxury Events,15555,3111.0,242,5,
Daisy,128,111,Cloudy,Marriage,14208,2841.6000000000004,285,7,
Orchid,314,44,Sunny,Daily Consumers,13816,2763.2000000000003,289,10,
Calla Lily,259,138,Rainy,Daily Consumers,35742,7148.400000000001,298,5,
Geranium,121,153,Sunny,Weddings,18513,3702.6000000000004,264,10,
Carnation,196,165,Cloudy,Temple,32340,6468.0,283,7,6.0
Geranium,171,146,Cloudy,Daily Consumers,24966,4993.200000000001,264,7,
Calla Lily,241,92,Sunny,Daily Consumers,22172,4434.400000000001,298,10,
Poppy,270,92,Cloudy,Special Events,24840,4968.0,284,7,8.0
Calla Lily,241,85,Rainy,Luxury Events,20485,4097.0,298,5,
Tulip,282,10,Rainy,Luxury Events,2820,564.0,257,5,
Calla Lily,247,80,Windy,Daily Consumers,19760,3952.0,298,6,
Lily,165,63,Windy,Special Events,10395,2079.0,280,6,8.0
Jasmine,96,45,Windy,Festivals,4320,864.0,293,6,
Daisy,121,201,Windy,High-End Customers,24321,4864.2,285,6,9.0
Rose,151,75,Sunny,Marriage,11325,2265.0,281,10,
Gerbera,98,162,Rainy,Temple,15876,3175.2000000000003,242,5,6.0
Marigold,157,244,Sunny,Daily Consumers,38308,7661.6,284,10,
Tulip,245,35,Cloudy,Weddings,8575,1715.0,257,7,
Chrysanthemum,124,157,Windy,Luxury Events,19468,3893.6000000000004,269,6,
Calla Lily,235,89,Sunny,Temple,20915,4183.0,298,10,6.0
Poppy,246,99,Sunny,Temple,24354,4870.8,284,10,6.0
Chrysanthemum,154,38,Cloudy,Festivals,5852,1170.4,269,7,
Chrysanthemum,188,44,Rainy,Temple,8272,1654.4,269,5,6.0
Hibiscus,96,102,Sunny,Marriage,9792,1958.4,273,10,
Dahlia,152,89,Windy,Corporate Events,13528,2705.6000000000004,300,6,7.0
Carnation,178,180,Cloudy,Weddings,32040,6408.0,283,7,
Jasmine,149,37,Cloudy,Corporate Events,5513,1102.6000000000001,293,7,7.0
Lavender,239,77,Sunny,Corporate Events,18403,3680.6000000000004,284,10,7.0
Jasmine,90,33,Cloudy,Corporate Events,2970,594.0,293,7,7.0
Calla Lily,221,10,Rainy,Special Events,2210,442.0,298,5,8.0
Jasmine,72,22,Sunny,Luxury Events,1584,316.8,293,10,
Poppy,203,10,Rainy,Corporate Events,2030,406.0,284,5,7.0
Chrysanthemum,163,50,Sunny,Special Events,8150,1630.0,269,10,8.0
Orchid,321,110,Rainy,Temple,35310,7062.0,289,5,6.0
