Flower Name,MRP (₹),Qty Sold (kg),Weather,Customer Segment,Revenue,Profit Margin,Sale Frequency,Weather Impact Score,Customer Segment Score,Start DateTime,End DateTime,Demand,Sales Duration (hours),Profit Percentage
Marigold,166,134.0,Cloudy,High-End Customers,22244.0,4448.8,284,7,9.0,2023-05-21 11:44:42,2023-05-22 13:44:42,Medium,26.0,20.0
Gerbera,113,178.0,Sunny,Temple,20114.0,4022.8,242,10,6.0,2023-05-12 07:19:11,2023-05-13 15:19:11,High,32.0,20.0
Carnation,168,152.0,Windy,Temple,25536.0,5107.200000000001,283,6,6.0,2023-12-02 02:09:50,2023-12-02 03:09:50,Medium,1.0,20.000000000000004
Chrysanthemum,142,24.0,Rainy,Special Events,3408.0,681.6,269,5,8.0,2023-07-24 07:47:39,2023-07-25 18:47:39,Low,35.0,20.0
Carnation,155,198.0,Sunny,Corporate Events,30690.0,6138.0,283,10,7.0,2023-10-03 14:15:51,2023-10-04 07:15:51,High,17.0,20.0
Poppy,210,62.0,Sunny,High-End Customers,13020.0,2604.0,284,10,9.0,2023-10-25 00:13:36,2023-10-25 15:13:36,Low,15.0,20.0
Lily,216,112.0,Cloudy,Temple,24192.0,4838.400000000001,280,7,6.0,2023-06-14 20:08:35,2023-06-16 14:08:35,Medium,42.0,20.0
Sunflower,133,99.0,Windy,Daily Consumers,13167.0,2633.4,257,6,7.0,2023-01-03 07:40:01,2023-01-03 09:40:01,Low,2.0,20.0
Sunflower,140,179.0,Sunny,Marriage,25060.0,5012.0,257,10,7.0,2023-09-15 05:12:12,2023-09-15 07:12:12,High,2.0,20.0
Poppy,200,25.0,Cloudy,Special Events,5000.0,1000.0,284,7,8.0,2023-08-19 10:48:52,2023-08-19 15:48:52,Low,5.0,20.0
Jasmine,137,54.0,Windy,High-End Customers,7398.0,1479.6,293,6,9.0,2023-08-02 14:34:00,2023-08-04 13:34:00,Low,47.0,20.0
Marigold,156,267.0,Sunny,Festivals,41652.0,8330.4,284,10,7.0,2023-08-16 03:43:28,2023-08-18 16:43:28,High,61.0,20.0
Marigold,195,193.0,Cloudy,Luxury Events,37635.0,7527.0,284,7,7.0,2023-12-06 14:21:28,2023-12-08 00:21:28,High,34.0,20.0
Lily,185,11.0,Cloudy,Festivals,2035.0,407.0,280,7,7.0,2023-09-25 21:50:02,2023-09-27 11:50:02,Low,38.0,20.0
Geranium,178,184.0,Cloudy,Temple,32752.0,6550.400000000001,264,7,6.0,2023-06-04 21:58:38,2023-06-05 05:58:38,High,8.0,20.0
Dahlia,177,25.0,Windy,Luxury Events,4425.0,885.0,300,6,7.0,2023-10-14 03:31:35,2023-10-14 04:31:35,Low,1.0,20.0
Daisy,96,170.0,Cloudy,Weddings,16320.0,3264.0,285,7,7.0,2023-09-14 23:37:00,2023-09-17 06:37:00,High,55.0,20.0
Daisy,117,126.0,Windy,High-End Customers,14742.0,2948.4,285,6,9.0,2023-06-07 20:20:46,2023-06-10 19:20:46,Medium,71.0,20.0
Chrysanthemum,127,159.0,Windy,High-End Customers,20193.0,4038.6,269,6,9.0,2023-03-24 13:59:14,2023-03-26 14:59:14,High,49.0,20.0
Gerbera,106,259.0,Cloudy,Temple,27454.0,5490.8,242,7,6.0,2023-09-29 17:03:49,2023-09-30 17:03:49,High,24.0,20.0
Zinnia,122,85.0,Sunny,Weddings,10370.0,2074.0,277,10,7.0,2023-07-24 21:46:17,2023-07-26 20:46:17,Low,47.0,20.0
Jasmine,135,154.0,Cloudy,Luxury Events,20790.0,4158.0,293,7,7.0,2023-03-23 12:32:45,2023-03-24 05:32:45,Medium,17.0,20.0
