,MRP (₹),Qty Sold (kg),Revenue,Profit Margin,Sale Frequency,Weather Impact Score,Customer Segment Score,Weather_Cloudy,Weather_Rainy,Weather_Sunny,Weather_Windy,Customer Segment_Corporate Events,Customer Segment_Daily Consumers,Customer Segment_Festivals,Customer Segment_High-End Customers,Customer Segment_Luxury Events,Customer Segment_Marriage,Customer Segment_Special Events,Customer Segment_Temple,Customer Segment_Weddings,0
0,-0.09680372669053436,0.4236435987497172,0.6060820866863289,0.6060820866863288,0.38890491484242945,-0.0016391540363787948,1.8068621093901294,1,0,0,0,0,0,0,1,0,0,0,0,0,11
1,-0.9378526031537762,1.1159969403771606,0.3835570117613647,0.3835570117613646,-2.5276703039413966,1.611834802439346,-1.7409439607120827,0,0,1,0,0,0,0,0,0,0,0,1,0,6
2,-0.06506603323909127,0.7068790566882168,0.9500034700914849,0.950003470091485,0.31946264772852884,-0.5394638061949537,-1.7409439607120827,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,-0.4776560481078514,-1.3072397553188913,-1.3617499843402558,-1.361749984340256,-0.6527290918660799,-1.0772884583535287,0.6242600860227253,0,1,0,0,0,0,0,0,0,0,1,0,0,2
10,-0.5570002817364591,-0.8351806587547254,-0.9449072383540554,-0.9449072383540554,1.013885318867535,-0.5394638061949537,1.8068621093901294,0,0,0,1,0,0,0,1,0,0,0,0,0,8
13,0.20470436109817494,-1.5117986971633632,-1.50518985658062,-1.50518985658062,0.11113584638682696,-0.0016391540363787948,-0.5583419373446786,1,0,0,0,0,0,1,0,0,0,0,0,0,10
14,0.09362243401812416,1.2104087596899937,1.7038724563161523,1.7038724563161523,-0.999940427435583,-0.0016391540363787948,-1.7409439607120827,1,0,0,0,0,0,0,0,0,0,0,1,0,5
15,0.07775358729240262,-1.2915044521000858,-1.2555020964535477,-1.2555020964535477,1.4999811886648393,-0.5394638061949537,0.15121927667576332,0,0,0,1,0,0,0,0,1,0,0,0,0,3
16,-1.2076229974910424,0.9901145146267164,-0.01280924845709267,-0.01280924845709281,0.45834718195633006,-0.0016391540363787948,1.0973008953696874,1,0,0,0,0,0,0,0,0,0,0,0,1,4
17,-0.8743772162508899,0.29776117299927296,-0.1776658532606577,-0.17766585326065779,0.45834718195633006,-0.5394638061949537,1.8068621093901294,0,0,0,1,0,0,0,1,0,0,0,0,0,4
