Flower Name,MRP (₹),Qty Sold (kg),Weather,Customer Segment,Revenue,Profit Margin,Sale Frequency,Weather Impact Score,Customer Segment Score,Start DateTime,End DateTime,Demand,Sales Duration (hours),Profit Percentage,Cluster
11,166,134.0,Cloudy,3,22244.0,4448.8,284,7,9.0,2023-05-21 11:44:42,2023-05-22 13:44:42,Medium,26.0,20.0,0
6,113,178.0,Sunny,7,20114.0,4022.8,242,10,6.0,2023-05-12 07:19:11,2023-05-13 15:19:11,High,32.0,20.0,0
1,168,152.0,Windy,7,25536.0,5107.200000000001,283,6,6.0,2023-12-02 02:09:50,2023-12-02 03:09:50,Medium,1.0,20.000000000000004,0
2,142,24.0,Rainy,6,3408.0,681.6,269,5,8.0,2023-07-24 07:47:39,2023-07-25 18:47:39,Low,35.0,20.0,0
1,155,198.0,Sunny,0,30690.0,6138.0,283,10,7.0,2023-10-03 14:15:51,2023-10-04 07:15:51,High,17.0,20.0,0
13,210,62.0,Sunny,3,13020.0,2604.0,284,10,9.0,2023-10-25 00:13:36,2023-10-25 15:13:36,Low,15.0,20.0,0
10,216,112.0,Cloudy,7,24192.0,4838.400000000001,280,7,6.0,2023-06-14 20:08:35,2023-06-16 14:08:35,Medium,42.0,20.0,0
15,133,99.0,Windy,1,13167.0,2633.4,257,6,7.0,2023-01-03 07:40:01,2023-01-03 09:40:01,Low,2.0,20.0,0
15,140,179.0,Sunny,5,25060.0,5012.0,257,10,7.0,2023-09-15 05:12:12,2023-09-15 07:12:12,High,2.0,20.0,0
13,200,25.0,Cloudy,6,5000.0,1000.0,284,7,8.0,2023-08-19 10:48:52,2023-08-19 15:48:52,Low,5.0,20.0,0
8,137,54.0,Windy,3,7398.0,1479.6,293,6,9.0,2023-08-02 14:34:00,2023-08-04 13:34:00,Low,47.0,20.0,0
11,156,267.0,Sunny,2,41652.0,8330.4,284,10,7.0,2023-08-16 03:43:28,2023-08-18 16:43:28,High,61.0,20.0,0
11,195,193.0,Cloudy,4,37635.0,7527.0,284,7,7.0,2023-12-06 14:21:28,2023-12-08 00:21:28,High,34.0,20.0,0
10,185,11.0,Cloudy,2,2035.0,407.0,280,7,7.0,2023-09-25 21:50:02,2023-09-27 11:50:02,Low,38.0,20.0,0
5,178,184.0,Cloudy,7,32752.0,6550.400000000001,264,7,6.0,2023-06-04 21:58:38,2023-06-05 05:58:38,High,8.0,20.0,0
3,177,25.0,Windy,4,4425.0,885.0,300,6,7.0,2023-10-14 03:31:35,2023-10-14 04:31:35,Low,1.0,20.0,0
4,96,170.0,Cloudy,8,16320.0,3264.0,285,7,7.0,2023-09-14 23:37:00,2023-09-17 06:37:00,High,55.0,20.0,0
4,117,126.0,Windy,3,14742.0,2948.4,285,6,9.0,2023-06-07 20:20:46,2023-06-10 19:20:46,Medium,71.0,20.0,0
2,127,159.0,Windy,3,20193.0,4038.6,269,6,9.0,2023-03-24 13:59:14,2023-03-26 14:59:14,High,49.0,20.0,0
6,106,259.0,Cloudy,7,27454.0,5490.8,242,7,6.0,2023-09-29 17:03:49,2023-09-30 17:03:49,High,24.0,20.0,0
17,122,85.0,Sunny,8,10370.0,2074.0,277,10,7.0,2023-07-24 21:46:17,2023-07-26 20:46:17,Low,47.0,20.0,0
8,135,154.0,Cloudy,4,20790.0,4158.0,293,7,7.0,2023-03-23 12:32:45,2023-03-24 05:32:45,Medium,17.0,20.0,0
11,142,129.0,Windy,4,18318.0,3663.6,284,6,7.0,2023-02-23 10:36:43,2023-02-26 00:36:43,Medium,62.0,20.0,0
6,133,200.0,Sunny,4,26600.0,5320.0,242,10,7.0,2023-03-15 21:09:31,2023-03-16 00:09:31,High,3.0,20.0,0
8,83,80.0,Sunny,6,6640.0,1328.0,293,10,8.0,2023-08-06 05:24:56,2023-08-06 11:24:56,Low,6.0,20.0,0
2,161,44.0,Rainy,7,7084.0,1416.8000000000002,269,5,6.0,2023-11-02 00:45:17,2023-11-03 05:45:17,Low,29.0,20.000000000000004,0
16,249,16.0,Rainy,0,3984.0,796.8000000000001,257,5,7.0,2023-06-19 16:22:09,2023-06-21 23:22:09,Low,55.0,20.0,1
12,311,46.0,Sunny,0,14306.0,2861.2000000000003,289,10,7.0,2023-10-24 07:51:49,2023-10-24 20:51:49,Low,13.0,20.0,0
17,146,58.0,Sunny,7,8468.0,1693.6,277,10,6.0,2023-10-27 10:54:18,2023-10-28 14:54:18,Low,28.0,20.0,0
12,295,89.0,Windy,3,26255.0,5251.0,289,6,9.0,2023-06-03 21:40:11,2023-06-06 17:40:11,Low,68.0,20.0,0
12,290,29.0,Cloudy,8,8410.0,1682.0,289,7,7.0,2023-08-16 12:23:51,2023-08-19 02:23:51,Low,62.0,20.0,0
11,143,143.0,Rainy,5,20449.0,4089.8,284,5,7.0,2023-01-18 02:46:42,2023-01-18 04:46:42,Medium,2.0,20.0,0
3,207,40.0,Windy,7,8280.0,1656.0,300,6,6.0,2023-02-22 20:08:11,2023-02-23 03:08:11,Low,7.0,20.0,0
9,202,20.0,Sunny,7,4040.0,808.0,284,10,6.0,2023-11-17 19:32:12,2023-11-18 19:32:12,Low,24.0,20.0,0
10,160,107.0,Rainy,3,17120.0,3424.0,280,5,9.0,2023-09-17 05:06:21,2023-09-19 12:06:21,Medium,55.0,20.0,0
15,115,90.0,Sunny,8,10350.0,2070.0,257,10,7.0,2023-08-06 06:53:38,2023-08-08 20:53:38,Low,62.0,20.0,0
9,175,79.0,Windy,3,13825.0,2765.0,284,6,9.0,2023-11-25 06:33:48,2023-11-27 23:33:48,Low,65.0,20.0,0
9,243,50.0,Rainy,2,12150.0,2430.0,284,5,7.0,2023-08-25 12:48:09,2023-08-25 19:48:09,Low,7.0,20.0,0
8,88,110.0,Cloudy,3,9680.0,1936.0,293,7,9.0,2023-10-20 14:45:36,2023-10-23 06:45:36,Medium,64.0,20.0,0
12,292,85.0,Windy,3,24820.0,4964.0,289,6,9.0,2023-07-07 18:19:50,2023-07-10 10:19:50,Low,64.0,20.0,0
6,87,146.0,Windy,3,12702.0,2540.4,242,6,9.0,2023-08-10 20:12:07,2023-08-11 11:12:07,Medium,15.0,20.0,0
7,84,105.0,Cloudy,8,8820.0,1764.0,273,7,7.0,2023-10-28 14:15:57,2023-10-29 16:15:57,Medium,26.0,20.0,0
1,152,78.0,Sunny,5,11856.0,2371.2000000000003,283,10,7.0,2023-06-16 04:50:24,2023-06-17 07:50:24,Low,27.0,20.0,0
4,99,151.0,Sunny,0,14949.0,2989.8,285,10,7.0,2023-03-07 22:31:18,2023-03-10 00:31:18,Medium,50.0,20.0,0
16,290,10.0,Cloudy,8,2900.0,580.0,257,7,7.0,2023-10-05 09:29:16,2023-10-06 22:29:16,Low,37.0,20.0,1
12,280,10.0,Cloudy,8,2800.0,560.0,289,7,7.0,2023-05-24 02:18:26,2023-05-26 01:18:26,Low,47.0,20.0,0
7,131,117.0,Sunny,2,15327.0,3065.4,273,10,7.0,2023-05-24 05:42:47,2023-05-24 06:42:47,Medium,1.0,20.0,0
4,95,91.0,Rainy,7,8645.0,1729.0,285,5,6.0,2023-02-23 02:46:51,2023-02-24 02:46:51,Low,24.0,20.0,0
2,157,91.0,Sunny,6,14287.0,2857.4,269,10,8.0,2023-10-01 21:45:53,2023-10-04 07:45:53,Low,58.0,20.0,0
8,119,32.0,Cloudy,6,3808.0,761.6,293,7,8.0,2023-05-11 19:48:27,2023-05-12 18:48:27,Low,23.0,20.0,0
9,221,111.0,Sunny,2,24531.0,4906.2,284,10,7.0,2023-05-04 07:44:35,2023-05-05 00:44:35,Medium,17.0,20.0,0
12,324,67.0,Windy,7,21708.0,4341.6,289,6,6.0,2023-02-02 16:15:46,2023-02-03 12:15:46,Low,20.0,20.0,0
14,128,156.0,Sunny,2,19968.0,3993.6,281,10,7.0,2023-02-05 22:07:23,2023-02-08 02:07:23,High,52.0,20.0,0
17,149,64.0,Sunny,6,9536.0,1907.2,277,10,8.0,2023-10-22 23:47:22,2023-10-23 12:47:22,Low,13.0,20.0,0
0,255,127.0,Cloudy,4,32385.0,6477.0,298,7,7.0,2023-10-02 19:39:57,2023-10-04 01:39:57,Medium,30.0,20.0,0
6,87,116.0,Cloudy,8,10092.0,2018.4,242,7,7.0,2023-02-24 21:40:19,2023-02-27 18:40:19,Medium,69.0,20.0,0
3,214,105.0,Sunny,3,22470.0,4494.0,300,10,9.0,2023-04-05 14:54:49,2023-04-05 17:54:49,Medium,3.0,20.0,0
10,198,22.0,Windy,7,4356.0,871.2,280,6,6.0,2023-11-15 05:23:16,2023-11-16 10:23:16,Low,29.0,20.0,0
12,333,10.0,Rainy,4,3330.0,666.0,289,5,7.0,2023-05-26 08:22:12,2023-05-26 14:22:12,Low,6.0,20.0,0
17,101,209.0,Cloudy,4,21109.0,4221.8,277,7,7.0,2023-06-06 23:13:29,2023-06-08 14:13:29,High,39.0,20.0,0
1,171,93.0,Rainy,3,15903.0,3180.6000000000004,283,5,9.0,2023-09-04 06:00:47,2023-09-05 11:00:47,Low,29.0,20.0,0
